olay_id,tarih,mro_id,olay_turu,risk_seviyesi,kesinti_dak,maddi_kayip_TL,kvkk_ozel,shy145_72sa_uygunluk,mitre_tactic,mitre_technique,ek19_kontroller,etkilenen_hizmet_sayisi
CDSA-MRO-SDG-000153,2024-10-05,MRO-EU-119,portal_erisim_ihlali,4,1081,383537,EVET,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,2
CDSA-MRO-SDG-000154,2025-12-04,MRO-TR-966,oltalama_saldirisi,3,155,296658,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000155,2024-09-07,MRO-TR-482,yetki_iptal_eksikligi,3,632,242669,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,4
CDSA-MRO-SDG-000156,2025-09-23,MRO-TR-394,ot_sistem_sizmasi,4,713,132027,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000157,2025-12-11,MRO-EU-925,oltalama_saldirisi,3,1700,433038,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000158,2024-05-30,MRO-EU-404,egitim_sistem_manipulasyonu,3,908,127945,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,2
CDSA-MRO-SDG-000159,2025-02-19,MRO-TR-364,konfigurasyon_hatasi,3,1153,273277,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,3
CDSA-MRO-SDG-000160,2024-01-08,MRO-TR-465,ot_sistem_sizmasi,4,1754,475604,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000161,2024-12-05,MRO-TR-932,shadow_it,2,2038,393489,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000162,2025-01-13,MRO-EU-240,konfigurasyon_hatasi,4,1614,252487,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000163,2025-04-30,MRO-TR-360,tedarik_zinciri_kontaminasyonu,4,1121,220387,EVET,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000164,2024-07-16,MRO-TR-183,ot_sistem_sizmasi,4,1396,181985,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000165,2024-07-24,MRO-TR-554,usb_zararli_yazilim,3,380,232860,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,4
CDSA-MRO-SDG-000166,2025-12-06,MRO-TR-399,ot_sistem_sizmasi,4,1040,16937,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000167,2024-11-11,MRO-TR-841,oltalama_saldirisi,3,1787,90481,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000168,2024-06-23,MRO-EU-386,kalibrasyon_butunluk_ihlali,4,1714,489422,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,2
CDSA-MRO-SDG-000169,2024-03-23,MRO-TR-055,kalibrasyon_butunluk_ihlali,4,467,246979,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,4
CDSA-MRO-SDG-000170,2025-12-02,MRO-TR-385,ot_sistem_sizmasi,4,451,128240,EVET,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000171,2024-02-25,MRO-EU-928,sosyal_muhendislik,4,521,417984,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,3
CDSA-MRO-SDG-000172,2024-08-23,MRO-TR-710,hesap_ele_gecirme,4,1686,130554,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000173,2024-05-15,MRO-EU-902,egitim_sistem_manipulasyonu,3,505,417278,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,3
CDSA-MRO-SDG-000174,2025-06-11,MRO-EU-695,ddos_saldirisi,3,1894,268529,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,3
CDSA-MRO-SDG-000175,2025-04-07,MRO-TR-065,portal_erisim_ihlali,4,1632,234985,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000176,2025-06-16,MRO-TR-325,oltalama_saldirisi,3,808,88156,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000177,2025-01-13,MRO-TR-143,shadow_it,2,1161,385736,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000178,2025-02-15,MRO-TR-379,yetki_iptal_eksikligi,2,460,82859,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000179,2024-12-25,MRO-TR-191,tedarik_zinciri_kontaminasyonu,4,1787,376851,HAYIR,HAYIR,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000180,2025-05-17,MRO-TR-644,portal_erisim_ihlali,4,1700,312157,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,3
CDSA-MRO-SDG-000181,2024-05-02,MRO-TR-278,yetki_iptal_eksikligi,3,1445,460651,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,4
CDSA-MRO-SDG-000182,2024-04-08,MRO-EU-536,yetki_iptal_eksikligi,3,753,77594,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000183,2025-12-27,MRO-TR-802,egitim_sistem_manipulasyonu,3,1567,353703,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,3
CDSA-MRO-SDG-000184,2025-08-24,MRO-TR-418,hesap_ele_gecirme,4,1390,228046,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000185,2024-05-06,MRO-TR-712,hesap_ele_gecirme,4,1149,70059,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000186,2024-03-07,MRO-TR-695,konfigurasyon_hatasi,2,752,60888,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000187,2024-06-05,MRO-TR-500,oltalama_saldirisi,4,1322,75964,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000188,2025-05-17,MRO-TR-678,egitim_sistem_manipulasyonu,3,1378,191810,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,2
CDSA-MRO-SDG-000189,2024-11-15,MRO-TR-861,ot_sistem_sizmasi,4,1855,191761,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000190,2024-09-28,MRO-TR-591,portal_erisim_ihlali,4,1174,467669,EVET,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,3
CDSA-MRO-SDG-000191,2025-04-23,MRO-TR-476,shadow_it,2,1268,105055,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000192,2025-03-08,MRO-TR-338,shadow_it,2,116,131344,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000193,2024-08-29,MRO-EU-394,portal_erisim_ihlali,4,352,486874,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,2
CDSA-MRO-SDG-000194,2025-01-06,MRO-TR-465,ddos_saldirisi,3,1191,317751,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,2
CDSA-MRO-SDG-000195,2025-10-18,MRO-TR-968,yetki_iptal_eksikligi,3,1252,198724,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000196,2024-01-22,MRO-TR-615,portal_erisim_ihlali,4,1130,394110,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000197,2025-11-24,MRO-EU-727,ot_sistem_sizmasi,4,375,323524,HAYIR,HAYIR,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000198,2025-05-31,MRO-EU-850,egitim_sistem_manipulasyonu,4,722,477903,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,3
CDSA-MRO-SDG-000199,2024-11-16,MRO-TR-127,egitim_sistem_manipulasyonu,3,302,454381,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,3
CDSA-MRO-SDG-000200,2024-10-17,MRO-TR-672,ddos_saldirisi,3,373,312814,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,3
CDSA-MRO-SDG-000201,2025-08-05,MRO-TR-525,konfigurasyon_hatasi,3,1865,322279,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,3
CDSA-MRO-SDG-000202,2025-02-01,MRO-TR-303,ot_sistem_sizmasi,4,1165,477868,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000203,2024-02-16,MRO-TR-893,shadow_it,2,1055,397062,EVET,HAYIR,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000204,2024-01-19,MRO-TR-433,yetki_iptal_eksikligi,3,340,408798,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000205,2025-12-20,MRO-TR-911,oltalama_saldirisi,2,1049,38565,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000206,2025-10-23,MRO-TR-368,usb_zararli_yazilim,3,1430,164663,EVET,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,3
CDSA-MRO-SDG-000207,2024-06-11,MRO-TR-933,sosyal_muhendislik,3,1800,92266,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,4
CDSA-MRO-SDG-000208,2025-12-26,MRO-EU-814,tedarik_zinciri_kontaminasyonu,4,964,221785,HAYIR,HAYIR,TA0001,T1195,15.1.1|18.2.1|12.3.7,2
CDSA-MRO-SDG-000209,2025-03-29,MRO-EU-640,yetki_iptal_eksikligi,3,37,236566,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000210,2025-12-15,MRO-TR-775,kalibrasyon_butunluk_ihlali,4,1702,139190,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,2
CDSA-MRO-SDG-000211,2025-08-09,MRO-TR-910,konfigurasyon_hatasi,4,938,440583,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000212,2024-03-20,MRO-TR-042,hesap_ele_gecirme,4,1054,69836,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000213,2025-01-18,MRO-TR-092,shadow_it,3,1052,83303,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000214,2025-02-23,MRO-TR-349,kalibrasyon_butunluk_ihlali,4,1823,315273,EVET,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,2
CDSA-MRO-SDG-000215,2025-06-24,MRO-TR-521,usb_zararli_yazilim,3,673,133654,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,3
CDSA-MRO-SDG-000216,2024-04-27,MRO-EU-297,egitim_sistem_manipulasyonu,3,631,431507,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,3
CDSA-MRO-SDG-000217,2025-05-08,MRO-TR-350,konfigurasyon_hatasi,2,569,240699,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,3
CDSA-MRO-SDG-000218,2024-12-02,MRO-TR-197,ot_sistem_sizmasi,4,1521,405997,EVET,HAYIR,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000219,2024-11-06,MRO-EU-259,oltalama_saldirisi,3,638,367672,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000220,2024-01-03,MRO-TR-169,yetki_iptal_eksikligi,3,1423,43799,EVET,HAYIR,TA0001,T1078,1.1.4|7.2.1|1.4.2,4
CDSA-MRO-SDG-000221,2024-01-29,MRO-TR-302,ddos_saldirisi,2,1772,40030,EVET,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,3
CDSA-MRO-SDG-000222,2025-09-24,MRO-TR-249,portal_erisim_ihlali,4,1740,224008,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000223,2024-11-15,MRO-TR-167,hesap_ele_gecirme,3,1161,327176,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000224,2024-02-13,MRO-TR-907,hesap_ele_gecirme,4,1949,108750,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000225,2024-07-01,MRO-EU-194,fidye_yazilimi,3,450,129545,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,3
CDSA-MRO-SDG-000226,2024-06-01,MRO-EU-666,portal_erisim_ihlali,4,111,144506,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000227,2024-07-26,MRO-TR-368,oltalama_saldirisi,3,476,237611,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000228,2025-05-28,MRO-TR-484,sosyal_muhendislik,3,1383,436650,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,3
CDSA-MRO-SDG-000229,2024-06-01,MRO-EU-307,konfigurasyon_hatasi,3,488,223399,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,3
CDSA-MRO-SDG-000230,2024-05-22,MRO-TR-299,ddos_saldirisi,2,1146,480827,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,2
CDSA-MRO-SDG-000231,2025-01-12,MRO-EU-827,konfigurasyon_hatasi,2,330,83697,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000232,2025-08-05,MRO-TR-420,ot_sistem_sizmasi,4,904,196815,EVET,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000233,2025-06-02,MRO-TR-173,usb_zararli_yazilim,3,152,59065,EVET,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000234,2025-11-24,MRO-TR-742,oltalama_saldirisi,3,910,468658,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000235,2024-04-20,MRO-EU-176,hesap_ele_gecirme,4,1132,56377,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000236,2025-10-08,MRO-TR-946,fidye_yazilimi,4,1494,82950,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,3
CDSA-MRO-SDG-000237,2025-03-30,MRO-TR-129,yetki_iptal_eksikligi,3,732,338896,EVET,HAYIR,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000238,2024-07-28,MRO-TR-778,oltalama_saldirisi,3,139,405473,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000239,2025-07-04,MRO-EU-073,sosyal_muhendislik,3,1540,168128,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,3
CDSA-MRO-SDG-000240,2025-01-29,MRO-EU-998,usb_zararli_yazilim,2,437,337846,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,4
CDSA-MRO-SDG-000241,2024-07-12,MRO-TR-751,sosyal_muhendislik,3,1660,225428,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,2
CDSA-MRO-SDG-000242,2025-12-21,MRO-TR-682,usb_zararli_yazilim,2,1076,14416,EVET,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,3
CDSA-MRO-SDG-000243,2024-04-09,MRO-TR-378,konfigurasyon_hatasi,3,1718,460732,HAYIR,HAYIR,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000244,2025-05-01,MRO-TR-173,usb_zararli_yazilim,3,1437,168406,HAYIR,HAYIR,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000245,2025-05-08,MRO-TR-119,sosyal_muhendislik,3,524,430080,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,3
CDSA-MRO-SDG-000246,2025-08-29,MRO-TR-614,fidye_yazilimi,4,1994,82754,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,2
CDSA-MRO-SDG-000247,2025-12-06,MRO-EU-404,ddos_saldirisi,3,1750,367904,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,2
CDSA-MRO-SDG-000248,2025-08-17,MRO-TR-643,oltalama_saldirisi,3,1930,313966,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000249,2024-05-01,MRO-TR-306,yetki_iptal_eksikligi,3,1008,208852,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,4
CDSA-MRO-SDG-000250,2025-12-31,MRO-TR-434,shadow_it,1,863,195240,EVET,HAYIR,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000251,2024-09-11,MRO-TR-410,is_emri_sahteciligi,4,2069,42536,HAYIR,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,3
CDSA-MRO-SDG-000252,2025-11-23,MRO-TR-101,usb_zararli_yazilim,3,304,81546,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,4
CDSA-MRO-SDG-000253,2025-01-22,MRO-TR-695,tedarik_zinciri_kontaminasyonu,4,1968,488239,HAYIR,HAYIR,TA0001,T1195,15.1.1|18.2.1|12.3.7,3
CDSA-MRO-SDG-000254,2024-07-06,MRO-EU-715,konfigurasyon_hatasi,3,1624,256798,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000255,2024-01-08,MRO-EU-404,hesap_ele_gecirme,3,1423,116313,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000256,2025-10-20,MRO-TR-405,ot_sistem_sizmasi,4,1913,87087,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000257,2024-07-05,MRO-TR-135,tedarik_zinciri_kontaminasyonu,4,622,269474,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000258,2024-05-09,MRO-TR-235,hesap_ele_gecirme,3,1129,453459,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000259,2024-10-07,MRO-TR-218,hesap_ele_gecirme,4,267,6516,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,2
CDSA-MRO-SDG-000260,2025-09-13,MRO-TR-547,fidye_yazilimi,4,407,165385,HAYIR,HAYIR,TA0040,T1486,9.1.1|14.1.1|5.2.1,4
CDSA-MRO-SDG-000261,2025-03-04,MRO-EU-799,yetki_iptal_eksikligi,2,612,396471,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000262,2024-07-30,MRO-TR-333,tedarik_zinciri_kontaminasyonu,4,296,4563,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,2
CDSA-MRO-SDG-000263,2025-07-16,MRO-TR-508,oltalama_saldirisi,3,245,84266,EVET,HAYIR,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000264,2024-07-12,MRO-TR-962,ot_sistem_sizmasi,3,1951,71434,EVET,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000265,2024-04-18,MRO-TR-672,konfigurasyon_hatasi,2,1663,20247,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,3
CDSA-MRO-SDG-000266,2025-12-01,MRO-TR-808,fidye_yazilimi,4,1816,347734,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,2
CDSA-MRO-SDG-000267,2024-06-01,MRO-EU-842,oltalama_saldirisi,3,717,286591,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000268,2025-06-23,MRO-TR-679,ot_sistem_sizmasi,4,1463,368663,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000269,2025-08-31,MRO-TR-942,konfigurasyon_hatasi,3,316,362072,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000270,2024-08-20,MRO-TR-029,shadow_it,2,347,322115,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000271,2024-03-07,MRO-TR-489,ot_sistem_sizmasi,3,53,426640,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000272,2024-10-24,MRO-TR-561,konfigurasyon_hatasi,3,1325,57024,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000273,2024-03-30,MRO-TR-086,portal_erisim_ihlali,4,915,277981,HAYIR,HAYIR,TA0001,T1556,1.4.2|13.2.1|1.6.1,3
CDSA-MRO-SDG-000274,2024-09-26,MRO-TR-787,yetki_iptal_eksikligi,3,1317,388565,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000275,2024-03-07,MRO-TR-893,usb_zararli_yazilim,3,1189,148872,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000276,2024-09-22,MRO-TR-534,usb_zararli_yazilim,3,230,66925,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000277,2024-05-08,MRO-TR-117,yetki_iptal_eksikligi,3,1360,279118,EVET,HAYIR,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000278,2025-01-17,MRO-TR-877,sosyal_muhendislik,3,1275,296015,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,2
CDSA-MRO-SDG-000279,2025-02-26,MRO-EU-440,usb_zararli_yazilim,4,1635,327854,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000280,2024-06-26,MRO-TR-199,hesap_ele_gecirme,4,627,346876,EVET,HAYIR,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000281,2025-01-22,MRO-TR-828,shadow_it,2,116,206359,EVET,HAYIR,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000282,2024-07-01,MRO-TR-726,hesap_ele_gecirme,4,1312,109142,EVET,HAYIR,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000283,2025-05-22,MRO-EU-260,shadow_it,2,1941,472097,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,3
CDSA-MRO-SDG-000284,2025-10-22,MRO-EU-285,konfigurasyon_hatasi,3,875,320752,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000285,2025-11-18,MRO-EU-005,yetki_iptal_eksikligi,3,1812,340058,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000286,2025-02-16,MRO-TR-108,sosyal_muhendislik,3,1134,29799,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,2
CDSA-MRO-SDG-000287,2025-03-22,MRO-TR-288,is_emri_sahteciligi,4,248,282575,HAYIR,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,4
CDSA-MRO-SDG-000288,2024-08-19,MRO-TR-939,ddos_saldirisi,3,1593,450291,HAYIR,HAYIR,TA0040,T1498,12.2.1|14.1.1|5.1.1,4
CDSA-MRO-SDG-000289,2025-09-27,MRO-EU-342,tedarik_zinciri_kontaminasyonu,4,1611,116625,EVET,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,2
CDSA-MRO-SDG-000290,2024-04-10,MRO-TR-752,oltalama_saldirisi,3,807,208389,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000291,2025-05-22,MRO-TR-609,portal_erisim_ihlali,4,1659,469758,EVET,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,2
CDSA-MRO-SDG-000292,2024-01-02,MRO-TR-421,tedarik_zinciri_kontaminasyonu,4,521,364652,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000293,2024-05-25,MRO-TR-296,portal_erisim_ihlali,4,95,72752,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,2
CDSA-MRO-SDG-000294,2025-04-22,MRO-EU-941,hesap_ele_gecirme,3,1169,388748,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000295,2025-04-29,MRO-TR-480,oltalama_saldirisi,3,1670,367144,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000296,2025-02-24,MRO-EU-691,tedarik_zinciri_kontaminasyonu,4,1780,365250,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000297,2025-12-19,MRO-TR-840,shadow_it,2,204,215116,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000298,2024-09-23,MRO-EU-311,ot_sistem_sizmasi,4,972,242498,EVET,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000299,2025-11-03,MRO-TR-590,oltalama_saldirisi,3,156,251312,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000300,2025-11-05,MRO-TR-453,yetki_iptal_eksikligi,3,273,133800,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000301,2024-01-31,MRO-TR-349,egitim_sistem_manipulasyonu,3,234,301102,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,2
CDSA-MRO-SDG-000302,2025-10-19,MRO-TR-992,ot_sistem_sizmasi,4,451,207435,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000303,2024-09-04,MRO-TR-741,fidye_yazilimi,4,1230,470314,HAYIR,HAYIR,TA0040,T1486,9.1.1|14.1.1|5.2.1,2
CDSA-MRO-SDG-000304,2025-10-27,MRO-TR-423,oltalama_saldirisi,2,975,56906,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000305,2025-07-03,MRO-TR-799,egitim_sistem_manipulasyonu,3,1751,379185,EVET,EVET,TA0009,T1565,4.3.1|7.4.1|3.2.1,3
